feature,rf_importance,xgb_importance,lgb_importance,cbt_importance
v,0.0572761177885647,0.186068540395717,0.072349811990002,0.157846744869618
st255,0.14642094246167,0.149946293996355,0.109081863851859,0.231171661240716
sm100,0.383934462321243,0.555246685758171,0.328794621049841,0.226761725573269
sm255,0.288166126429992,0.0310438001333231,0.315317591359142,0.195617677898532
doc_gwlf,0.0342944479998353,0.00924010184878353,0.0327794555750613,0.0288585236929748
cyday,0.0899079029986945,0.0684545778676507,0.141676656174094,0.159743666724891
