predictor,IncNodePurity
swt,2.12179195247109
v,8.02168566130613
lh,0.233898550466207
sh,0.395721857244339
strat,1.16145693585448
t,1.51131481570247
rh,0.16448234617176
sp,0.421959098539216
cc,0.168619377835812
ws,0.142793504375775
sr,3.01533493816338
st7,1.51652882524324
st28,1.48242664927104
st100,2.17525579513786
st255,5.80585015833247
sm7,0.843816022492946
sm28,1.78829170149842
sm100,9.36741073482465
sm255,30.9857185561806
tp,0.148476149597148
pev,2.57558579547294
q_gwlf,2.56653241356444
doc_gwlf,10.6919872590699
cyday,12.5978749910067
random,0.0951859101769565
