Model,R2,RMSE,NSE,KGE
RF,0.99,0.8,0.99,0.98
XGB,1,0.12,1,1
LGB,0.97,1.67,0.97,0.96
CatBoost,0.99,0.76,0.99,0.99
Linear,0.67,5.49,0.67,0.74
KNN,0.98,1.19,0.98,0.99
SVR,0.97,1.54,0.97,0.97
Blended,0.89,3.33,0.88,0.84
