"","IncNodePurity"
"swt",4.13926167011699
"v",10.4491223373516
"lh",1.10958130104559
"sh",1.95592750086082
"strat",1.43321239734501
"t",2.69063632508994
"rh",1.24312947076758
"sp",1.22408765277527
"cc",0.796124368223406
"ws",0.961788042320602
"sr",3.18186586366674
"st7",2.59252540973104
"st28",3.75246258500624
"st100",4.29240299282572
"st255",5.71519428487321
"sm7",2.27671314591925
"sm28",3.93374274607021
"sm100",11.2456961893532
"sm255",11.8322097781902
"tp",0.775740466988905
"pev",3.35740355084396
"q_gwlf",4.80059849591314
"doc_gwlf",9.05484392548592
"cyday",7.18572949923554
