Model,R2,RMSE,NSE,KGE
RF,0.99,0.81,0.99,0.97
XGB,1,0.11,1,1
LGB,0.98,1.48,0.98,0.97
CatBoost,0.99,0.72,0.99,0.99
Linear,0.67,5.43,0.67,0.75
KNN,0.98,1.17,0.98,0.99
SVR,0.98,1.38,0.98,0.98
Blended,0.89,3.29,0.88,0.84
