Model,R2,RMSE,NSE,KGE
RF,0.99,0.79,0.99,0.97
XGB,1,0.01,1,1
LGB,1,0.19,1,1
CTB,0.99,0.76,0.99,0.99
Linear,0.67,5.49,0.67,0.74
KNN,0.98,1.19,0.98,0.99
SVR,0.97,1.54,0.97,0.97
Blended,0.94,2.44,0.93,0.88
