date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,fdom
2012-05-20,11.098477,62317837.6,-25.039227,3.443943,0.2654,11.61958338,74.10126296,1010.308111,89.29166667,13.82603399,205.8333333,11.58208333,10.80708333,9.144583333,8.505,0.37725,0.383375,0.376708333,0.390708333,0.5,2.776868067,1.668,7.203,51.29608897
2012-05-21,11.274352,62317837.6,-4.598792,18.14036,0.262439,14.11541671,79.20430104,1008.208709,94.75,15.57687773,179.5,13.45291667,11.79041667,9.427916667,8.505,0.372833333,0.377666667,0.376,0.39,0.6,2.643270065,1.418,7.141,51.17937441
2012-05-22,11.39024,62317837.6,-0.45426,33.881537,0.372157,14.87375004,85.89092508,1012.369459,99.75,18.09078267,119.3333333,13.97791667,12.70708333,9.813333333,8.552916667,0.36975,0.374125,0.375625,0.39,1,1.833894144,1.334,7.155,51.14065009
2012-05-23,11.612532,62317837.6,-2.375827,40.322129,0.342602,15.85708333,77.58264208,1020.447255,95.875,18.40017888,217.3333333,15.11750004,13.43208333,10.23,8.571666667,0.36425,0.370458333,0.374625,0.39,0,3.192202308,1.271,7.175,51.00215608
2012-05-24,12.272722,62317814.5,-0.171008,25.078566,0.272423,17.30083333,73.9554585,1026.08825,90.83333333,8.263105563,290.5416667,16.7675,14.57583333,10.6925,8.615416667,0.354166667,0.36425,0.373166667,0.39,0,4.231160142,1.102,7.166,50.89619078
2012-05-25,12.6548,62317362.73,-3.342422,69.435288,0.281698,19.66958338,70.58582921,1021.985825,11.125,13.85758179,315.625,17.78833333,15.69458333,11.2425,8.669583333,0.340083333,0.355333333,0.36925,0.389958333,0.1,5.266973403,0.934,7.185,53.75151186
2012-05-26,12.835007,62313172.72,-30.996393,84.413399,0.320784,19.58416667,60.81032167,1018.177683,0,18.28454525,334.125,18.63,16.81958338,11.88625,8.732083333,0.324583333,0.344458333,0.364083333,0.389,0,5.794068073,0.786,7.248,55.42418483
2012-05-27,13.751106,62310503.26,-19.735512,50.971929,0.604576,19.23000004,62.83088088,1016.890202,9.291666667,12.24252264,323.5416667,18.59875,16.97375,12.46541667,8.807083333,0.31075,0.334125,0.360083333,0.389,0,5.351728675,0.66,7.372,55.54969583
2012-05-28,14.103495,62306662.21,-28.373773,36.567081,0.400838,17.63208338,68.91595967,1014.736271,32.875,11.49312691,292.9166667,18.00916671,17.13833338,12.97583333,8.894583333,0.300625,0.326208333,0.357,0.389,0,4.513510918,0.55,7.592,54.92535022
2012-05-29,14.490377,62317837.6,-15.428908,3.496586,0.305074,14.87375,82.03515154,1015.10777,80.41666667,6.202437542,167.3333333,15.69041667,15.88416675,13.30083333,8.990416667,0.300291667,0.321458333,0.355208333,0.388166667,1.4,2.425027273,0.537,7.618,54.60706771
2012-05-30,14.471302,62317837.6,-20.934343,2.455299,0.376033,14.73208333,83.60150363,1015.05736,92.08333333,11.10315935,186.0416667,15.58625,15.355,13.41333333,9.088333333,0.315583333,0.320666667,0.354125,0.388,1.2,2.547736878,0.642,7.317,54.02998761
2012-05-31,14.688573,62317837.6,-9.718768,-4.08573,0.495586,14.16125004,92.38674013,1016.582299,100,9.451172396,48.45833333,14.3925,14.55083333,13.43,9.18625,0.367291667,0.330083333,0.353,0.388,8.9,0.916293961,1.082,6.429,53.83826272
2012-06-01,14.842768,62317837.6,-7.61714,-0.46155,0.495586,15.87583333,86.13407958,1017.987752,99.91666667,4.21205774,158.75,15.95708338,14.65708333,13.34041667,9.282083333,0.35725,0.34175,0.352791667,0.387916667,0.7,2.473041061,1.329,6.487,53.63995114
2012-06-02,14.668172,62317837.6,-24.614265,-4.846109,0.31782,15.04041667,82.0165005,1010.901033,96.54166667,12.49317125,125.625,15.75500004,15.3675,13.40916667,9.377916667,0.35475,0.34375,0.352583333,0.387,7.3,2.030532356,2.544,7.242,53.77892079
2012-06-03,14.644336,62317837.6,-36.709223,-14.976643,0.455667,12.03625,80.83075142,1009.57339,94.5,13.74578695,152.7083333,13.71333333,14.3425,13.42583333,9.4675,0.406,0.382583333,0.354,0.387,9.9,2.080446002,3.66,8.114,53.86352023
2012-06-04,14.859328,62311131.52,-49.496638,-7.022762,0.455667,12.73625,65.71849342,1015.440046,82.54166667,7.975078975,249.875,13.67375,13.64666667,13.26333333,9.550833333,0.38125,0.382125,0.356541667,0.387,0,3.577025276,2.352,8.472,53.35802552
2012-06-05,14.815167,62317837.6,-44.100928,-25.969164,0.455667,11.36958333,90.63926733,1005.375518,95.08333333,11.44320153,84.83333333,12.35916667,13.10916667,13.1175,9.632083333,0.384875,0.377083333,0.357458333,0.387,4.2,1.147336846,2.061,7.951,53.00660873
2012-06-06,15.172701,62317837.6,-24.079937,-3.931945,0.455667,13.32791667,84.64907213,996.6899067,69.58333333,5.692918329,277.9583333,14.53208338,13.42791667,12.91125,9.71125,0.386541667,0.379458333,0.358,0.386125,5.6,3.496171215,2.471,7.994,52.77823974
2012-06-07,14.50696,62317837.6,-63.55514,-32.470864,0.509974,12.03208333,92.8115215,990.5378217,97.29166667,16.92468488,64.66666667,12.50916667,13.23416667,12.85916667,9.78,0.412791667,0.39875,0.361083333,0.386,26.9,0.948046917,25.944,11.018,53.51533579
2012-06-08,13.698191,62317837.6,-144.300533,-70.296378,0.691285,10.95291667,85.82207096,997.0629658,99.41666667,28.098218,82.125,11.6425,12.25083333,12.67166667,9.8425,0.42675,0.424708333,0.38475,0.386,21.5,1.334121906,40.945,7.547,55.63422588
2012-06-09,14.021023,62308194.69,-71.252181,-12.65369,0.320784,11.44875,68.82474329,1008.201626,57.58333333,13.50596675,308.25,12.45291667,12.11541667,12.41125,9.907083333,0.402833333,0.409291667,0.394333333,0.386,0,3.826510816,6.085,8.64,54.56395678
2012-06-10,14.267116,62302902.79,-39.080549,-8.494403,0.320784,11.6070834,72.70204604,1007.161676,77.79166667,4.920739074,307.9166667,11.97166663,12.21333333,12.24666667,9.959166667,0.386833333,0.396166667,0.393708333,0.386958333,0,3.971937753,2.654,9.453,54.34377329
2012-06-11,14.181752,62317837.6,-44.600435,-14.266859,0.321181,12.67375004,82.86594821,1006.225808,45.83333333,10.95206099,315.75,13.78833333,13.17583333,12.19041667,10.005,0.378208333,0.386083333,0.392041667,0.387,0.4,3.687409834,3.813,9.014,54.65449514
