Model,R2,RMSE,NSE,KGE
RF,0.98,1.05,0.98,0.94
XGB,1,0.07,1,1
LGB,0.99,0.74,0.99,0.98
CTB,1,0.54,1,0.99
Linear,0.58,4.65,0.58,0.66
KNN,0.94,1.22,0.94,0.94
SVR,0.87,1.39,0.87,0.89
Blended,0.93,2.3,0.92,0.84
