,var,importance
1,swt,0.0709544480167908
2,v,0.000175332150648088
3,lh,0.000812841157244426
4,sh,0.00105693501355934
5,strat,0.00702709991932401
6,t,0.00245105105512526
7,rh,0.000839221206360476
8,sp,0.0033535856590677
9,cc,0.000620573960366423
10,ws,0.00269571299698302
11,sr,0.0898481521163929
12,st7,0.00307041202509398
13,st28,0.00673198838211511
14,st100,0.0290572582671525
15,st255,0.200187794887326
16,sm7,0.00338450415842291
17,sm28,0.0043286071195374
18,sm100,0.112875519548055
19,sm255,0.193725720540262
20,tp,0.00122835576675341
21,pev,0.00435087998786771
22,q_gwlf,0.0170150929213253
23,doc_gwlf,0.0881871491615799
24,cyday,0.156021763982647
