feature,mean_abs_shap
cyday,1.8787415802090068
sr,1.5201233224123711
sm255,1.366436041515895
swt,1.205949611523045
st255,1.105174217827681
doc_gwlf,0.8580044018057329
sm100,0.7319047706575523
st100,0.6520509385773475
