"v","st255","sm100","sm255","cyday"
92778125.579894,8.07,0.353416666666667,0.326,0.819152044288992
93979125.579894,8.04708310416667,0.353,0.326,0.809016994374947
95170125.579894,8.0199995,0.351833333333333,0.326,0.798635510047293
95023125.579894,8.0199995,0.35025,0.326,0.788010753606722
95222125.579894,8.0199995,0.352375,0.326,0.777145961456971
95063125.579894,8.0116663,0.35625,0.326,0.766044443118978
94469125.579894,7.9700003,0.357916666666667,0.326,0.754709580222772
93853125.579894,7.9700003,0.35875,0.326,0.743144825477394
94999125.579894,7.932500075,0.35875,0.327,0.731353701619171
95182125.579894,7.92,0.360791666666667,0.327,0.719339800338651
102664125.579894,7.92,0.367708333333333,0.327,0.707106781186548
106370125.579894,7.92,0.373583333333333,0.327666666666667,0.694658370458997
107025125.579894,7.92,0.375791666666667,0.328,0.681998360062498
106676125.579894,7.92,0.377,0.328583333333333,0.669130606358858
106063778.357894,7.92,0.376416666666667,0.329,0.656059028990507
105066125.579894,7.92,0.375541666666667,0.329208333333333,0.642787609686539
104116125.579894,7.92,0.374625,0.33,0.629320391049838
103041125.579894,7.92,0.373416666666667,0.33,0.615661475325658
101291125.579894,7.92,0.371833333333333,0.330208333333333,0.601815023152048
99683125.579894,7.9700003,0.370541666666667,0.331,0.587785252292473
98617125.579894,7.9700003,0.37,0.331,0.573576436351046
97785125.579894,7.9700003,0.36825,0.331,0.559192903470747
97975125.579894,7.9700003,0.366666666666667,0.331208333333333,0.544639035015027
96870125.579894,7.9700003,0.366,0.332,0.529919264233205
95901125.579894,7.9700003,0.364875,0.332,0.515038074910054
95701125.579893,8.0074997,0.363333333333333,0.332,0.5
96707125.579894,8.0199995,0.361583333333333,0.332,0.484809620246337
97728125.579894,8.0199995,0.361125,0.332,0.469471562785891
99641125.579894,8.0199995,0.361625,0.332083333333333,0.453990499739547
101605125.579894,8.0199995,0.362416666666667,0.333,0.438371146789077
99839125.579894,8.47,0.33975,0.333,0.121869343405147
111673125.579894,8.5179161875,0.342,0.333,0.104528463267653
112706125.579894,8.5199995,0.346916666666667,0.333,0.0871557427476581
113202125.579894,8.54708310416667,0.35075,0.333,0.0697564737441255
113342125.579894,8.57,0.351,0.333,0.052335956242944
124098125.579894,8.86166666666667,0.337583333333333,0.333,-0.17364817766693
125414125.579894,8.89708333333333,0.336458333333333,0.333,-0.190808995376545
126506125.579894,8.93875,0.335,0.333,-0.207911690817759
127623125.579894,8.9845831875,0.3325,0.332625,-0.224951054343865
133748125.579894,9.2554163125,0.326083333333333,0.332,-0.309016994374947
134860125.579894,9.31166658333333,0.324166666666667,0.332,-0.325568154457156
136084125.579894,9.52416620833333,0.318416666666667,0.331,-0.422618261740699
136648125.579893,9.57,0.319541666666667,0.331,-0.438371146789078
138300125.579893,9.60333333333333,0.323166666666667,0.331,-0.453990499739547
149923125.579892,10.2429164375,0.307625,0.328,-0.719339800338651
150802125.579892,10.3179165625,0.306041666666667,0.328,-0.73135370161917
151684125.579892,10.3991666666667,0.305208333333333,0.328,-0.743144825477394
151352125.579892,10.490833125,0.305,0.328,-0.754709580222772
151076125.579892,10.57208325,0.304916666666667,0.327625,-0.766044443118978
151629125.579892,10.6470833333333,0.303458333333333,0.327,-0.777145961456971
151076125.579892,10.7241665625,0.302833333333333,0.327,-0.788010753606722
152181125.579892,10.7970831041667,0.300541666666667,0.327,-0.798635510047293
152347125.579892,10.8825,0.298416666666667,0.327,-0.809016994374947
150032125.579892,10.96583325,0.297583333333333,0.326541666666667,-0.819152044288992
148665125.579892,11.0616665,0.297208333333333,0.326,-0.829037572555042
148949125.579892,11.1575,0.296583333333333,0.326,-0.838670567945424
149430125.579892,11.2616664166667,0.295541666666667,0.326,-0.848048096156426
148611125.579892,11.3616666666667,0.295125,0.325625,-0.857167300702112
147415125.579892,11.4637498958333,0.295833333333333,0.325,-0.866025403784439
147686125.579892,11.5637498333333,0.296583333333333,0.325,-0.874619707139396
147523125.579892,11.6595833333333,0.295,0.325,-0.882947592858927
147903125.579892,11.75749975,0.293875,0.325,-0.891006524188368
148665125.579892,11.8575,0.293208333333333,0.324625,-0.898794046299167
149321125.579892,11.9574999375,0.292416666666667,0.324,-0.90630778703665
150142125.579892,12.0616665,0.291541666666667,0.324,-0.913545457642601
147036125.579892,12.1595833333333,0.29,0.324,-0.92050485345244
146051125.579892,12.249166375,0.288333333333333,0.324,-0.927183854566787
144703445.023892,12.3429166666667,0.285958333333333,0.324,-0.933580426497202
142806125.579892,12.42625,0.284166666666667,0.323583333333333,-0.939692620785908
143018125.579892,12.5137497291667,0.281958333333333,0.323,-0.945518575599317
142806125.579892,12.6095833333333,0.28,0.323,-0.951056516295154
141013125.579892,12.7137498958333,0.278833333333333,0.323,-0.956304755963035
139548125.579892,12.8220832083333,0.277291666666667,0.322041666666667,-0.961261695938319
138144125.579892,12.9387499791667,0.275875,0.322,-0.965925826289068
138144125.579892,13.0616664791667,0.275666666666667,0.322,-0.970295726275996
138196125.579892,13.1887499583333,0.274416666666667,0.321041666666667,-0.974370064785235
138663125.579892,13.3220831875,0.2715,0.321,-0.978147600733806
138695125.579892,13.4658331875,0.269583333333333,0.321,-0.981627183447664
137576125.579892,13.6095833125,0.269166666666667,0.32,-0.984807753012208
136803125.579892,13.7491664791667,0.268666666666667,0.32,-0.987688340595138
135369125.579892,13.8866666666667,0.268875,0.32,-0.99026806874157
133799125.579892,14.0262498125,0.27,0.319375,-0.992546151641322
131898125.579892,14.1679166666667,0.272125,0.319,-0.994521895368273
127525125.579892,14.6095833125,0.273541666666667,0.318,-0.998629534754574
126215125.579892,14.7491664791667,0.272333333333333,0.318,-0.999390827019096
124779125.579892,14.88875,0.271875,0.318,-0.999847695156391
124395125.579892,15.0220831458333,0.270291666666667,0.317875,-1
123705125.579892,15.13875,0.269208333333333,0.317,-0.999847695156391
