date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,fdom
2017-02-04,7.575782,92778125.579894,-40.328714,22.532629,0.30767,11.8762499791667,70.5311355416667,957.956633333333,65.7916666666667,14.1760110625,118.958333333333,10.0658331833333,7.95541663333333,6.89083319583333,8.07,0.35075,0.363625,0.353416666666667,0.326,0.6,1.9713364061,7.58167,3.04194,22.4725548513986
2017-02-05,7.576405,93979125.579894,-87.827544,5.10713,0.252722,9.65749987083333,73.6420017916667,953.85267,50.625,14.1532705125,88.4583333333333,9.44083327083333,8.85124985416667,7.24083325833333,8.04708310416667,0.359166666666667,0.359875,0.353,0.326,4.2,1.49334021219,7.14355,2.93947,21.8147679523602
2017-02-06,7.52441,95170125.579894,-168.358531,8.328054,0.265042,9.919999925,45.9275312083333,961.549712083333,35.4166666666667,8.76069115416667,141.166666666667,9.03249988333333,7.8199999,7.445,8.0199995,0.355625,0.358,0.351833333333333,0.326,0,2.41598481,6.78263,2.84993,20.7054135125291
2017-02-07,7.693355,95023125.579894,-0.204388,0.11573,0.329249,10.4783333041667,78.514180125,964.415715833333,91,4.21666114166667,114.708333333333,9.45124994583333,7.5012498875,7.495,8.0199995,0.351291666666667,0.354291666666667,0.35025,0.326,5.4,1.48883222751,7.48805,3.02782,19.9751346481644
2017-02-08,7.745349,95222125.579894,-23.513714,-2.61459,0.271019,7.7095832,77.4814766666667,963.096244166667,61.9166666666667,5.22889562916667,115.375,8.43874980833333,8.24500000416667,7.6262499375,8.0199995,0.415666666666667,0.401291666666667,0.352375,0.326,16.8,1.397513278,17.2453,3.86824,17.341024694056
2017-02-09,7.668471,95063125.579894,-28.211088,-5.425255,0.298947,5.11791659625,70.5093295,964.534547083333,14.9583333333333,5.84952549583333,150,4.77208327916667,5.68041660416667,7.53041664166667,8.0116663,0.388708333333333,0.398833333333333,0.35625,0.326,0,1.70138112234,18.2635,3.47513,16.696661565778
2017-02-10,7.557017,94469125.579894,-71.373386,-18.870507,0.286686,5.44708324583333,82.0910806666667,963.266266666667,91.9583333333333,7.25460598333333,114.583333333333,4.87833332916667,5.332499975,7.22833329583333,7.9700003,0.377583333333333,0.388875,0.357916666666667,0.326,0,1.303521773,16.5419,3.33433,15.9704156960228
2017-02-11,7.603304,93853125.579894,-19.938488,-4.41196,0.284695,7.22208327916667,89.0357534166667,963.061925,98.7083333333333,7.01253175416667,57.9583333333333,6.0991666125,5.45958324583333,6.98041661666667,7.9700003,0.375916666666667,0.382083333333333,0.35875,0.326,3,0.7685171655,15.156,3.19975,15.0223504097465
2017-02-12,7.777356,94999125.579894,-3.062765,16.716206,0.252481,11.0220832708333,89.3905639583333,962.04336125,99.5416666666667,12.4559321666667,56.7916666666667,9.76166658333333,7.71791657916667,6.98458328333333,7.932500075,0.399291666666667,0.385833333333333,0.35875,0.327,4,0.839256019,14.3483,3.07623,15.7227688865822
2017-02-13,7.880483,95182125.579894,-1.502886,25.488249,0.252438,11.5366665416667,90.0063795416667,962.222505,98.1666666666667,12.7801298875,51.75,10.8199999375,8.86583314583333,7.2637499625,7.92,0.40675,0.393458333333333,0.360791666666667,0.327,14.1,0.77192351476,18.8751,3.39961,17.5291314084354
2017-02-14,11.196573,102664125.579894,-22.80383,-4.813746,0.414133,11.0158332291667,93.67592675,970.385064166667,97.25,5.46979452083333,62.125,10.7491665625,9.15124989583333,7.58666661666667,7.92,0.422875,0.419541666666667,0.367708333333333,0.327,10.1,0.838814286,19.4993,3.17549,17.1424380572553
2017-02-15,11.501471,106370125.579894,-23.066701,-4.852659,0.423511,10.7158332291667,92.77323225,978.712822083333,81.0416666666667,6.749605225,85.7083333333333,10.451249875,9.30124991666667,7.85958330833333,7.92,0.405458333333333,0.410416666666667,0.373583333333333,0.327666666666667,1,1.092710798,19.2719,3.00984,18.1675072880245
2017-02-16,11.390974,107025125.579894,-40.797374,-7.712573,0.462289,10.0137499166667,87.986365375,978.76351875,95.6666666666667,5.40919660416667,117.541666666667,9.82624989583333,9.00541660416667,8.065833125,7.92,0.391291666666667,0.401041666666667,0.375791666666667,0.328,0,1.500222657,18.0633,2.9052,21.9034247159091
2017-02-17,11.39113,106676125.579894,-25.649389,-3.911383,0.471856,9.928333275,84.487091375,973.744078333333,25.5,5.076303475,159.75,9.4054165375,8.99291660416667,8.19499991666667,7.92,0.37975,0.392708333333333,0.377,0.328583333333333,0,1.960225668,17.0549,2.81271,22.4133055725525
2017-02-18,11.36778,106063778.357894,-21.507909,-4.278745,0.270911,8.92416657916667,84.2054922083333,968.972417916667,70,4.71640047916667,127.291666666667,8.32624991666667,8.142916625,8.2387498125,7.92,0.371666666666667,0.384833333333333,0.376416666666667,0.329,0,1.5636537435,16.2256,2.73144,21.3841813046329
2017-02-19,11.287965,105066125.579894,-21.54866,-4.255405,0.265306,9.04291662916667,81.749507,971.881685416667,41.4583333333333,6.63754575,138.083333333333,8.28249994166667,8.142916525,8.20541666666667,7.92,0.365208333333333,0.378583333333333,0.375541666666667,0.329208333333333,0,1.684102449,15.5379,2.66119,20.7307432200612
2017-02-20,11.312048,104116125.579894,-18.752925,-3.00658,0.258701,9.651250025,81.797860625,971.78546875,23.3333333333333,4.1414554,153.5,8.70541664583333,8.10749995416667,8.16791666666667,7.92,0.358958333333333,0.372958333333333,0.374625,0.33,0,1.964346204,14.963,2.60124,20.6780362598339
