Model,R2,RMSE,NSE,KGE
RF,0.99,0.97,0.99,0.95
XGB,1,0,1,1
LGB,0.99,0.86,0.99,0.98
CTB,0.75,5.04,0.68,0.58
Linear,0.22,7.87,0.22,0.25
KNN,0.99,0.92,0.99,0.98
SVR,0.89,2.95,0.89,0.9
Blended,0.62,6.04,0.54,0.46
